<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX,W,20140120,00:00,64.6200000,65.0700000,62.4500000,62.4500000,9150900
MOEX,W,20140127,00:00,61.9500000,63.8000000,60.1500000,61.4300000,18334110
MOEX,W,20140203,00:00,61.4700000,65.1400000,59.7800000,63.5000000,10897100
MOEX,W,20140210,00:00,63.7500000,65.1600000,62.5100000,65.0000000,8809190
MOEX,W,20140217,00:00,65.2100000,65.7000000,64.0000000,65.2300000,18769960
MOEX,W,20140224,00:00,65.3300000,65.7000000,62.0000000,64.0000000,30738230
MOEX,W,20140303,00:00,61.0000000,61.9900000,53.0000000,57.0000000,45054990
MOEX,W,20140310,00:00,56.8300000,56.9900000,42.7400000,48.8400000,33110970
MOEX,W,20140317,00:00,49.6900000,60.4000000,49.6900000,55.5300000,35809510
MOEX,W,20140324,00:00,55.6100000,59.9400000,55.3300000,58.2300000,19583920
MOEX,W,20140331,00:00,58.0600000,59.9700000,57.1900000,58.6000000,13477500
MOEX,W,20140407,00:00,58.0500000,63.0000000,55.0300000,61.6700000,25682580
MOEX,W,20140414,00:00,60.5200000,61.4000000,53.7700000,57.0000000,20968440
MOEX,W,20140421,00:00,57.3400000,57.4300000,53.1600000,53.9000000,15698720
MOEX,W,20140428,00:00,53.7900000,55.2700000,51.4900000,53.5900000,24537110
MOEX,W,20140505,00:00,53.4900000,58.8500000,52.5300000,58.0300000,16320790
MOEX,W,20140512,00:00,58.0300000,60.1500000,56.6100000,58.2100000,14343390
MOEX,W,20140519,00:00,58.7900000,62.0000000,57.8500000,62.0000000,16744740
MOEX,W,20140526,00:00,61.9300000,65.7500000,60.0700000,65.7500000,30744580
MOEX,W,20140602,00:00,65.7000000,66.1900000,61.3000000,65.3400000,27910340
MOEX,W,20140609,00:00,65.3500000,65.9500000,63.0200000,65.6500000,7846060
MOEX,W,20140616,00:00,64.8300000,68.8000000,64.0000000,68.3100000,18886040
MOEX,W,20140623,00:00,70.0000000,70.9300000,65.2800000,66.1700000,21860170
MOEX,W,20140630,00:00,66.2600000,68.8500000,61.6400000,64.5400000,89632410
MOEX,W,20140707,00:00,64.9000000,66.7700000,61.1200000,62.1200000,34370590
MOEX,W,20140714,00:00,62.1000000,62.5000000,59.5800000,60.9300000,25228280
MOEX,W,20140721,00:00,60.5000000,61.7500000,58.1100000,58.7000000,27173880
MOEX,W,20140728,00:00,58.9500000,59.0500000,55.1200000,57.4800000,34380520
MOEX,W,20140804,00:00,57.6500000,59.7000000,53.7200000,58.5000000,23920470
