Категория: Все категории

Неделя,Акция: (Россия),Экономические санкции: (Россия),Правительство: (Россия),Центральный банк: (Россия),Инвестиция: (Россия)
2018-01-07,39,32,24,0,16
2018-01-14,30,24,0,0,24
2018-01-21,0,26,0,0,36
2018-01-28,44,60,12,0,0
2018-02-04,21,0,41,0,0
2018-02-11,11,0,0,0,40
2018-02-18,17,31,0,17,0
2018-02-25,24,31,23,0,0
2018-03-04,38,50,22,0,0
2018-03-11,20,34,0,17,0
2018-03-18,14,0,0,0,18
2018-03-25,76,22,0,0,43
2018-04-01,24,40,0,0,0
2018-04-08,57,74,0,20,25
2018-04-15,34,88,0,0,26
2018-04-22,20,0,20,0,0
2018-04-29,44,0,15,0,0
2018-05-06,0,0,32,0,0
2018-05-13,18,0,77,0,20
2018-05-20,24,0,0,0,20
2018-05-27,22,0,0,0,0
2018-06-03,46,24,0,34,0
2018-06-10,24,0,15,0,0
2018-06-17,52,0,0,0,0
2018-06-24,27,20,0,0,20
2018-07-01,0,24,25,0,0
2018-07-08,0,0,32,22,16
2018-07-15,63,0,34,0,0
2018-07-22,0,0,65,0,0
2018-07-29,38,0,0,0,36
2018-08-05,70,60,0,23,0
2018-08-12,16,19,0,100,0
2018-08-19,16,74,0,0,32
2018-08-26,40,48,0,0,31
2018-09-02,0,26,0,0,0
2018-09-09,33,0,14,19,0
2018-09-16,44,25,0,0,29
2018-09-23,23,0,0,0,14
2018-09-30,0,17,0,0,0
2018-10-07,62,34,21,0,0
2018-10-14,15,14,0,21,0
2018-10-21,38,46,16,0,0
2018-10-28,35,0,0,0,0
2018-11-04,33,47,14,0,0
2018-11-11,31,16,0,38,0
2018-11-18,21,36,0,0,84
2018-11-25,40,45,19,0,0
2018-12-02,0,15,0,0,15
2018-12-09,17,0,20,0,0
2018-12-16,34,27,25,0,0
2018-12-23,27,36,0,0,0
2018-12-30,19,59,0,0,0
