Категория: Все категории

Неделя,Акция: (Россия),Экономические санкции: (Россия),Правительство: (Россия),Центральный банк: (Россия),Инвестиция: (Россия)
2019-01-06,0,17,15,0,25
2019-01-13,23,0,17,0,24
2019-01-20,0,41,30,0,15
2019-01-27,17,14,14,0,35
2019-02-03,0,53,15,0,0
2019-02-10,31,0,14,16,0
2019-02-17,25,0,0,0,28
2019-02-24,25,13,12,30,0
2019-03-03,28,18,0,0,0
2019-03-10,33,0,0,0,0
2019-03-17,0,0,0,0,36
2019-03-24,30,18,0,24,0
2019-03-31,16,22,32,0,13
2019-04-07,0,0,20,19,0
2019-04-14,26,16,0,32,0
2019-04-21,26,18,46,0,0
2019-04-28,62,0,0,0,0
2019-05-05,0,0,0,0,0
2019-05-12,0,39,0,0,0
2019-05-19,23,16,0,0,0
2019-05-26,0,46,16,21,28
2019-06-02,0,0,19,0,0
2019-06-09,48,0,0,0,0
2019-06-16,33,0,48,19,0
2019-06-23,0,0,0,0,0
2019-06-30,38,0,0,0,18
2019-07-07,45,39,26,60,0
2019-07-14,17,0,0,0,0
2019-07-21,0,0,18,0,26
2019-07-28,30,0,0,0,40
2019-08-04,26,29,0,0,16
2019-08-11,30,0,0,0,0
2019-08-18,25,0,0,0,0
2019-08-25,0,0,0,0,0
2019-09-01,21,16,0,0,19
2019-09-08,100,0,29,0,31
2019-09-15,26,0,0,0,18
2019-09-22,17,24,0,0,0
2019-09-29,44,15,0,0,19
2019-10-06,49,0,0,17,0
2019-10-13,63,0,0,0,0
2019-10-20,51,0,0,0,0
2019-10-27,0,0,0,0,0
2019-11-03,62,0,0,0,0
2019-11-10,21,0,17,24,0
2019-11-17,21,0,21,20,15
2019-11-24,0,0,0,0,17
2019-12-01,0,0,0,0,45
2019-12-08,0,0,16,0,19
2019-12-15,51,29,0,21,0
2019-12-22,27,30,0,0,0
2019-12-29,34,0,0,0,0
