Категория: Все категории

Неделя,Акция: (Россия),Экономические санкции: (Россия),Правительство: (Россия),Центральный банк: (Россия),Инвестиция: (Россия)
2020-01-05,0,0,9,0,9
2020-01-12,26,10,100,0,0
2020-01-19,21,0,59,0,0
2020-01-26,26,0,17,0,12
2020-02-02,0,26,14,0,9
2020-02-09,13,0,0,0,0
2020-02-16,20,9,30,0,10
2020-02-23,33,0,10,14,8
2020-03-01,20,0,7,0,0
2020-03-08,32,13,12,0,0
2020-03-15,0,6,0,0,0
2020-03-22,10,11,8,0,14
2020-03-29,11,0,15,7,8
2020-04-05,12,0,14,0,14
2020-04-12,11,10,0,7,9
2020-04-19,12,0,18,0,5
2020-04-26,0,0,0,19,6
2020-05-03,23,15,10,0,0
2020-05-10,29,8,8,0,0
2020-05-17,54,0,7,0,0
2020-05-24,23,0,31,0,0
2020-05-31,28,0,0,6,0
2020-06-07,14,0,0,0,32
2020-06-14,11,0,15,0,16
2020-06-21,12,0,14,0,0
2020-06-28,18,11,10,0,0
2020-07-05,14,0,30,0,9
2020-07-12,19,18,0,0,0
2020-07-19,0,0,8,0,12
2020-07-26,19,0,0,0,0
2020-08-02,21,0,0,20,45
2020-08-09,45,16,0,14,0
2020-08-16,0,11,0,10,11
2020-08-23,0,27,22,0,0
2020-08-30,10,0,0,0,0
2020-09-06,0,15,0,13,8
2020-09-13,29,9,0,0,0
2020-09-20,35,0,0,0,0
2020-09-27,20,0,0,0,0
2020-10-04,11,0,0,0,0
2020-10-11,14,12,10,0,0
2020-10-18,26,17,0,0,31
2020-10-25,19,0,0,0,0
2020-11-01,42,0,0,0,20
2020-11-08,23,15,9,0,8
2020-11-15,0,0,0,0,21
2020-11-22,20,0,17,15,9
2020-11-29,34,0,0,0,0
2020-12-06,18,0,13,0,12
2020-12-13,43,0,12,0,0
2020-12-20,0,14,34,11,0
2020-12-27,17,0,0,0,15
