Категория: Все категории

Неделя,Акция: (Россия),Экономические санкции: (Россия),Правительство: (Россия),Центральный банк: (Россия),Инвестиция: (Россия)
2017-01-01,43,0,0,0,0
2017-01-08,21,8,21,0,0
2017-01-15,51,0,8,0,0
2017-01-22,46,20,25,0,16
2017-01-29,48,0,0,0,0
2017-02-05,20,0,20,0,0
2017-02-12,33,12,0,0,12
2017-02-19,24,0,0,0,0
2017-02-26,36,0,0,14,28
2017-03-05,14,0,0,0,0
2017-03-12,22,0,10,0,0
2017-03-19,27,0,0,0,23
2017-03-26,28,43,28,0,10
2017-04-02,32,31,0,24,0
2017-04-09,39,0,9,0,15
2017-04-16,27,0,0,0,0
2017-04-23,17,18,11,0,0
2017-04-30,10,0,16,0,0
2017-05-07,15,14,0,0,0
2017-05-14,48,0,0,0,0
2017-05-21,18,0,0,26,0
2017-05-28,26,0,23,0,0
2017-06-04,33,0,0,0,16
2017-06-11,0,15,0,0,13
2017-06-18,32,0,14,13,0
2017-06-25,14,0,0,30,0
2017-07-02,72,0,13,0,0
2017-07-09,0,0,0,0,0
2017-07-16,0,0,0,0,0
2017-07-23,0,100,0,0,0
2017-07-30,27,56,14,0,0
2017-08-06,0,0,0,0,18
2017-08-13,21,0,0,16,0
2017-08-20,21,0,0,32,16
2017-08-27,16,0,0,0,0
2017-09-03,51,0,13,0,0
2017-09-10,0,31,30,0,17
2017-09-17,28,0,21,0,0
2017-09-24,15,14,13,28,18
2017-10-01,36,0,22,22,0
2017-10-08,24,13,0,0,35
2017-10-15,33,19,21,0,20
2017-10-22,22,19,0,0,12
2017-10-29,55,20,18,0,34
2017-11-05,28,0,25,0,42
2017-11-12,70,19,26,18,11
2017-11-19,20,35,0,0,11
2017-11-26,58,0,0,18,31
2017-12-03,71,0,0,0,15
2017-12-10,37,0,0,0,0
2017-12-17,20,13,0,16,43
2017-12-24,30,0,0,0,0
2017-12-31,0,17,0,0,19
