Категория: Все категории

Неделя,Акция: (Россия),Экономические санкции: (Россия),Правительство: (Россия),Центральный банк: (Россия),Инвестиция: (Россия)
2016-01-03,44,12,0,0,0
2016-01-10,19,32,14,18,18
2016-01-17,40,20,15,0,0
2016-01-24,11,12,15,11,11
2016-01-31,28,0,0,0,0
2016-02-07,32,18,11,0,0
2016-02-14,11,0,0,49,0
2016-02-21,34,0,0,14,14
2016-02-28,28,11,0,0,0
2016-03-06,24,0,0,17,13
2016-03-13,25,14,10,0,22
2016-03-20,15,26,13,0,12
2016-03-27,23,0,13,0,14
2016-04-03,12,0,0,0,21
2016-04-10,23,0,12,0,13
2016-04-17,0,20,45,0,0
2016-04-24,0,50,29,37,0
2016-05-01,17,0,13,0,0
2016-05-08,0,0,0,0,0
2016-05-15,21,19,0,20,0
2016-05-22,41,0,0,0,15
2016-05-29,43,0,62,19,0
2016-06-05,38,0,30,60,12
2016-06-12,32,17,0,0,15
2016-06-19,42,0,26,0,0
2016-06-26,38,46,0,0,0
2016-07-03,24,0,16,0,0
2016-07-10,12,21,0,0,0
2016-07-17,52,0,38,17,56
2016-07-24,28,17,0,0,16
2016-07-31,0,13,24,0,0
2016-08-07,43,0,27,0,0
2016-08-14,0,0,0,0,0
2016-08-21,48,0,0,0,29
2016-08-28,25,27,0,0,21
2016-09-04,50,21,16,0,100
2016-09-11,32,23,15,0,0
2016-09-18,0,0,14,0,0
2016-09-25,35,0,0,0,0
2016-10-02,49,0,0,0,20
2016-10-09,49,15,21,0,22
2016-10-16,34,15,0,0,29
2016-10-23,71,14,0,29,30
2016-10-30,88,0,0,92,0
2016-11-06,57,11,10,0,0
2016-11-13,45,0,0,0,0
2016-11-20,48,11,0,0,0
2016-11-27,0,0,19,14,0
2016-12-04,60,0,40,0,11
2016-12-11,33,25,27,25,0
2016-12-18,52,31,16,0,0
2016-12-25,58,23,15,0,27
