Категория: Все категории

Неделя,Акция: (Россия),Экономические санкции: (Россия),Правительство: (Россия),Центральный банк: (Россия),Инвестиция: (Россия)
2015-01-04,27,41,0,0,0
2015-01-11,24,65,39,0,0
2015-01-18,25,92,36,0,0
2015-01-25,30,60,0,0,32
2015-02-01,0,35,0,0,0
2015-02-08,21,32,19,67,0
2015-02-15,0,50,26,0,0
2015-02-22,0,33,0,0,0
2015-03-01,0,0,0,0,0
2015-03-08,57,71,74,0,0
2015-03-15,26,48,24,0,45
2015-03-22,71,29,45,0,0
2015-03-29,21,0,39,0,0
2015-04-05,36,0,33,0,26
2015-04-12,25,0,35,0,0
2015-04-19,45,28,39,0,0
2015-04-26,0,35,23,0,0
2015-05-03,0,77,0,36,40
2015-05-10,28,0,26,0,0
2015-05-17,24,0,21,0,29
2015-05-24,44,36,31,0,0
2015-05-31,24,0,55,0,33
2015-06-07,0,80,0,0,36
2015-06-14,52,55,0,35,0
2015-06-21,0,0,0,0,0
2015-06-28,0,0,26,0,49
2015-07-05,0,0,0,0,0
2015-07-12,26,0,0,0,0
2015-07-19,0,0,28,0,0
2015-07-26,77,35,0,0,41
2015-08-02,0,70,48,0,0
2015-08-09,61,100,45,0,0
2015-08-16,45,0,40,0,0
2015-08-23,51,69,41,0,26
2015-08-30,61,0,99,0,0
2015-09-06,41,0,0,0,27
2015-09-13,22,18,0,0,27
2015-09-20,28,0,70,0,0
2015-09-27,16,0,16,0,43
2015-10-04,39,0,0,0,49
2015-10-11,0,0,27,0,0
2015-10-18,47,25,35,36,0
2015-10-25,69,0,30,38,0
2015-11-01,47,34,22,0,0
2015-11-08,30,0,16,0,0
2015-11-15,51,31,14,0,0
2015-11-22,62,39,16,31,13
2015-11-29,28,19,32,19,50
2015-12-06,69,24,0,0,0
2015-12-13,47,16,46,0,0
2015-12-20,14,27,28,0,0
2015-12-27,29,17,0,0,0
