Категория: Все категории

Неделя,Акция: (Россия),Экономические санкции: (Россия),Правительство: (Россия),Центральный банк: (Россия),Инвестиция: (Россия)
2022-01-02,10,17,7,13,9
2022-01-09,0,0,0,5,0
2022-01-16,15,6,0,7,0
2022-01-23,28,14,0,0,0
2022-01-30,13,7,4,7,4
2022-02-06,11,0,0,0,15
2022-02-13,8,7,3,0,0
2022-02-20,27,100,0,4,12
2022-02-27,15,98,5,0,5
2022-03-06,16,72,4,0,3
2022-03-13,8,48,9,5,3
2022-03-20,15,29,5,0,4
2022-03-27,9,29,0,0,12
2022-04-03,8,35,0,0,5
2022-04-10,7,26,2,0,6
2022-04-17,20,20,0,0,7
2022-04-24,12,17,4,0,5
2022-05-01,8,11,9,0,0
2022-05-08,4,25,0,0,0
2022-05-15,4,5,4,0,14
2022-05-22,15,6,0,0,0
2022-05-29,13,16,0,0,0
2022-06-05,11,14,0,0,4
2022-06-12,3,4,0,0,3
2022-06-19,0,7,0,0,4
2022-06-26,11,15,0,4,0
2022-07-03,0,7,0,0,0
2022-07-10,7,10,0,0,0
2022-07-17,6,4,10,10,5
2022-07-24,14,9,0,0,0
2022-07-31,0,5,0,0,0
2022-08-07,11,9,0,0,9
2022-08-14,11,0,0,0,0
2022-08-21,4,6,0,0,0
2022-08-28,10,10,0,13,0
2022-09-04,5,9,8,0,0
2022-09-11,10,7,0,0,7
2022-09-18,11,0,3,0,0
2022-09-25,4,12,0,0,0
2022-10-02,3,13,3,0,6
2022-10-09,0,0,0,5,2
2022-10-16,8,9,13,0,2
2022-10-23,0,0,7,0,5
2022-10-30,11,3,0,0,9
2022-11-06,7,5,0,0,0
2022-11-13,4,3,3,14,0
2022-11-20,7,10,0,0,0
2022-11-27,0,0,0,0,0
2022-12-04,4,9,0,5,4
2022-12-11,12,9,5,0,0
